Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Total_Sales_Unit,Total_Revenue
1851,16,-0.08290030119441917,3,116,-0.32370465874099147,-0.28816604982701644,-0.1541475579806833,-0.2535119699156533,-0.3253093282961611,,,96,,1696,8,-0.32511244156976266,-0.32530932829616105
2145,20,1.4480201917374689,0,233,-0.32370465874099147,-0.28816604982701644,-0.1541475579806833,-0.2535119699156533,-0.3253093282961611,,,96,,1696,8,-0.32511244156976266,-0.32530932829616105
8802,6,-0.2530025781868512,0,101,-0.2991192155753736,-0.2682959306476729,-0.251295034492094,-0.2535119699156533,-0.3253093282961611,,,96,,1696,8,-0.32511244156976266,-0.32530932829616105
6707,13,1.618122468729901,6,139,-0.32370465874099147,-0.22855569228898587,-0.251295034492094,-0.2535119699156533,-0.3253093282961611,,,96,,1696,8,-0.32511244156976266,-0.32530932829616105
8715,6,-0.7633094091641472,8,277,-0.2991192155753736,-0.2682959306476729,-0.251295034492094,-0.2535119699156533,-0.3253093282961611,0.07406892996071084,-1.1254782427791707,77,-0.28014469571792583,1042,7,-0.32511244156976266,-0.32530932829616105
2027,2,0.937713360760173,0,309,-0.2868264939925646,-0.28816604982701644,-0.251295034492094,-0.2535119699156533,-0.3253093282961611,,,95,,1178,7,-0.32511244156976266,-0.32530932829616105
11206,16,-0.08290030119441917,3,21,-0.2991192155753736,-0.2682959306476729,-0.251295034492094,-0.2535119699156533,-0.3253093282961611,,,96,,1696,8,-0.32511244156976266,-0.32530932829616105
11356,6,-0.08290030119441917,7,473,-0.32370465874099147,-0.28816604982701644,-0.1541475579806833,-0.2535119699156533,-0.3253093282961611,,,96,,1696,8,-0.32511244156976266,-0.32530932829616105
9857,13,0.7676110837677409,0,113,-0.32370465874099147,-0.22855569228898587,-0.251295034492094,-0.19995134332000783,-0.3253093282961611,-1.0021790755576827,-1.0201004348879992,57,-0.23025564094974854,830,5,-0.31865268594511414,-0.32530932829616105
4238,13,0.2573042527904449,11,259,-0.32370465874099147,-0.22855569228898587,-0.251295034492094,-0.2535119699156533,-0.3253093282961611,-0.786929474454004,-1.0201004348879992,22,-0.2552001683338372,489,1,-0.32511244156976266,-0.32530932829616105
3467,20,1.618122468729901,2,349,-0.32370465874099147,-0.28816604982701644,-0.1541475579806833,-0.2535119699156533,-0.3253093282961611,,,96,,1696,8,-0.32511244156976266,-0.32530932829616105
3550,17,0.937713360760173,3,158,-0.32370465874099147,-0.28816604982701644,-0.1541475579806833,-0.2535119699156533,-0.3253093282961611,,,96,,1696,8,-0.32511244156976266,-0.32530932829616105
